Route ID,Stop,Departure Time
1,Malir Halt,"Bus 1: 07:00:00, Bus 12: 10:30:00, Bus 23: 16:00:00, Bus 34: 19:15:00"
2,Shafiq Morr,"Bus 2: 07:30:00, Bus 13: 11:00:00, Bus 24: 16:30:00, Bus 35: 19:30:00"
3,UP More,"Bus 3: 08:00:00, Bus 14: 11:30:00, Bus 25: 17:00:00, Bus 36: 19:45:00"
4,UP Mor,"Bus 4: 08:15:00, Bus 15: 12:00:00, Bus 26: 17:15:00, Bus 37: 20:00:00"
5,Allah Wali Chowrangi,"Bus 5: 08:30:00, Bus 16: 12:30:00, Bus 27: 17:30:00, Bus 38: 20:30:00"
6,Taj Complex,"Bus 6: 08:45:00, Bus 17: 13:00:00, Bus 28: 17:45:00, Bus 39: 21:00:00"
7,26th Street,"Bus 7: 09:00:00, Bus 18: 13:30:00, Bus 29: 18:00:00, Bus 40: 21:30:00"
8,Khokhrapar,"Bus 8: 09:15:00, Bus 19: 14:00:00, Bus 30: 18:15:00, Bus 41: 22:00:00"
9,Tank Chowk,"Bus 9: 09:30:00, Bus 20: 14:30:00, Bus 31: 18:30:00"
10,Damba Goth,"Bus 10: 09:45:00, Bus 21: 15:00:00, Bus 32: 18:45:00"
11,Rim Jhim Tower,"Bus 11: 10:00:00, Bus 22: 15:30:00, Bus 33: 19:00:00"
1,Colony Gate,"Bus 1: 07:04:33, Bus 12: 10:34:33, Bus 23: 16:04:33, Bus 34: 19:19:33"
2,Sohrab Goth,"Bus 2: 07:33:30, Bus 13: 11:03:30, Bus 24: 16:33:30, Bus 35: 19:33:30"
3,Nagan Chowrangi,"Bus 3: 08:02:06, Bus 14: 11:32:06, Bus 25: 17:02:06, Bus 36: 19:47:06"
4,Nagan Chowrangi,"Bus 4: 08:17:06, Bus 15: 12:02:06, Bus 26: 17:17:06, Bus 37: 20:02:06"
5,National Highway 5,"Bus 5: 08:49:15, Bus 16: 12:49:15, Bus 27: 17:49:15, Bus 38: 20:49:15"
6,Capri Cinema,"Bus 6: 08:47:37, Bus 17: 13:02:37, Bus 28: 17:47:37, Bus 39: 21:02:37"
7,Khadda Market,"Bus 7: 09:10:30, Bus 18: 13:40:30, Bus 29: 18:10:30, Bus 40: 21:40:30"
8,Saudabad Chowrangi,"Bus 8: 09:17:37, Bus 19: 14:02:37, Bus 30: 18:17:37"
9,Model Colony Mor,"Bus 9: 09:40:30, Bus 20: 14:40:30, Bus 31: 18:40:30"
10,Toll Plaza,"Bus 10: 10:02:30, Bus 21: 15:17:30, Bus 32: 19:02:30"
11,Safoora Chowrangi,"Bus 11: 10:05:15, Bus 22: 15:35:15, Bus 33: 19:05:15"
1,Nata Khan Bridge,"Bus 1: 07:11:22, Bus 12: 10:41:22, Bus 23: 16:11:22, Bus 34: 19:26:22"
2,Gulshan Chowranei,"Bus 2: 07:41:12, Bus 13: 11:11:12, Bus 24: 16:41:12, Bus 35: 19:41:12"
3,Sakhi Hasan,"Bus 3: 08:05:25, Bus 14: 11:35:25, Bus 25: 17:05:25, Bus 36: 19:50:25"
4,Shafiq Mor,"Bus 4: 08:20:25, Bus 15: 12:05:25, Bus 26: 17:20:25, Bus 37: 20:05:25"
5,Steel Mill More,"Bus 5: 09:10:15, Bus 16: 13:10:15, Bus 27: 18:10:15, Bus 38: 21:10:15"
6,Mobile Market,"Bus 6: 08:50:36, Bus 17: 13:05:36, Bus 28: 17:50:36, Bus 39: 21:05:36"
7,Gizri Road,"Bus 7: 09:18:54, Bus 18: 13:48:54, Bus 29: 18:18:54, Bus 40: 21:48:54"
8,RCD Ground,"Bus 8: 09:22:00, Bus 19: 14:07:00, Bus 30: 18:22:00"
9,Jinnah Ave,"Bus 9: 09:44:42, Bus 20: 14:44:42, Bus 31: 18:44:42"
10,Baqai University,"Bus 10: 10:20:00, Bus 21: 15:35:00, Bus 32: 19:20:00"
11,Mausamiyat Chowrangi,"Bus 11: 10:06:02, Bus 22: 15:36:02, Bus 33: 19:06:02"
1,Drigh Road Station,"Bus 1: 07:16:48, Bus 12: 10:46:48, Bus 23: 16:16:48, Bus 34: 19:31:48"
2,NIPA,"Bus 2: 07:52:24, Bus 13: 11:22:24, Bus 24: 16:52:24, Bus 35: 19:52:24"
3,5 Star Chowrangi,"Bus 3: 08:08:34, Bus 14: 11:38:34, Bus 25: 17:08:34, Bus 36: 19:53:34"
4,Sohrab Goth,"Bus 4: 08:23:55, Bus 15: 12:08:55, Bus 26: 17:23:55, Bus 37: 20:08:55"
5,Port Bin Qasim More,"Bus 5: 09:22:30, Bus 16: 13:22:30, Bus 27: 18:22:30, Bus 38: 21:22:30"
6,Regal,"Bus 6: 08:55:09, Bus 17: 13:10:09, Bus 28: 17:55:09, Bus 39: 21:10:09"
7,Submarine Chowk,"Bus 7: 09:22:24, Bus 18: 13:52:24, Bus 29: 18:22:24, Bus 40: 21:52:24"
8,Kalaboard,"Bus 8: 09:23:55, Bus 19: 14:08:55, Bus 30: 18:23:55"
9,Airport,"Bus 9: 09:46:16, Bus 20: 14:46:16, Bus 31: 18:46:16"
10,Malir Cantt Gate 5,"Bus 10: 10:27:00, Bus 21: 15:42:00, Bus 32: 19:27:00"
11,Kamran Chowrangi,"Bus 11: 10:09:32, Bus 22: 15:39:32, Bus 33: 19:09:32"
1,PAF Base Faisal,"Bus 1: 07:20:28, Bus 12: 10:50:28, Bus 23: 16:20:28, Bus 34: 19:35:28"
2,Johar Morr,"Bus 2: 07:55:22, Bus 13: 11:25:22, Bus 24: 16:55:22, Bus 35: 19:55:22"
3,KDA Chowrangi,"Bus 3: 08:10:40, Bus 14: 11:40:40, Bus 25: 17:10:40, Bus 36: 19:55:40"
4,Shahrah e Pakistan,"Bus 4: 08:31:37, Bus 15: 12:16:37, Bus 26: 17:31:37, Bus 37: 20:16:37"
5,Razzakabad,"Bus 5: 09:27:13, Bus 16: 13:27:13, Bus 27: 18:27:13, Bus 38: 21:27:13"
6,Abdullah Haroon,"Bus 6: 08:57:36, Bus 17: 13:12:36, Bus 28: 17:57:36, Bus 39: 21:12:36"
7,Eidgah Clifton,"Bus 7: 09:23:48, Bus 18: 13:53:48, Bus 29: 18:23:48, Bus 40: 21:53:48"
8,Malir 15,"Bus 8: 09:25:51, Bus 19: 14:10:51, Bus 30: 18:25:51"
9,Colony Gate,"Bus 9: 09:50:07, Bus 20: 14:50:07, Bus 31: 18:50:07"
10,Malir Cantt Gate 6,"Bus 10: 10:35:45, Bus 21: 15:50:45, Bus 32: 19:35:45"
11,Darul Sehat Hospital,"Bus 11: 10:15:39, Bus 22: 15:45:39, Bus 33: 19:15:39"
1,Laal Kothi,"Bus 1: 07:22:45, Bus 12: 10:52:45, Bus 23: 16:22:45, Bus 34: 19:37:45"
2,COD,"Bus 2: 07:59:34, Bus 13: 11:29:34, Bus 24: 16:59:34, Bus 35: 19:59:34"
3,Nazimabad Eid Gah Ground,"Bus 3: 08:15:03, Bus 14: 11:45:03, Bus 25: 17:15:03, Bus 36: 20:00:03"
4,Ayesha Manzil,"Bus 4: 08:38:37, Bus 15: 12:23:37, Bus 26: 17:38:37, Bus 37: 20:23:37"
5,Abdullah Goth,"Bus 5: 09:28:37, Bus 16: 13:28:37, Bus 27: 18:28:37, Bus 38: 21:28:37"
6,Zainab Market,"Bus 6: 09:00:13, Bus 17: 13:15:13, Bus 28: 18:00:13, Bus 39: 21:15:13"
7,PIDC,"Bus 7: 09:25:12, Bus 18: 13:55:12, Bus 29: 18:25:12, Bus 40: 21:55:12"
8,Malir Mandir,"Bus 8: 09:28:49, Bus 19: 14:13:49, Bus 30: 18:28:49"
9,Nata Khan Bridge,"Bus 9: 09:59:34, Bus 20: 14:59:34, Bus 31: 18:59:34"
10,Tank Chowk,"Bus 10: 10:41:21, Bus 21: 15:56:21, Bus 32: 19:41:21"
11,Johar Chowrangi,"Bus 11: 10:19:09, Bus 22: 15:49:09, Bus 33: 19:19:09"
1,Karsaz,"Bus 1: 07:28:00, Bus 12: 10:58:00, Bus 23: 16:28:00, Bus 34: 19:43:00"
2,Drigh Road Station,"Bus 2: 08:07:37, Bus 13: 11:37:37, Bus 24: 17:07:37, Bus 35: 20:07:37"
3,Liaquatabad 10 Number,"Bus 3: 08:19:57, Bus 14: 11:49:57, Bus 25: 17:19:57, Bus 36: 20:04:57"
4,Liaqautabad 10,"Bus 4: 08:41:36, Bus 15: 12:26:36, Bus 26: 17:41:36, Bus 37: 20:26:36"
5,Chowkundi More,"Bus 5: 09:33:42, Bus 16: 13:33:42, Bus 27: 18:33:42, Bus 38: 21:33:42"
